black	blue	brown	cyan	darkgreen	darkgrey	darkorange	darkred	darkturquoise	green	greenyellow	grey60	lightcyan	lightgreen	lightyellow	magenta	midnightblue	orange	pink	purple	red	royalblue	salmon	tan	turquoise	yellow
	CDC42EP5	LPAR1																						PRRT2	
	GPT	TPM2																						ZNF226	
	GGT6	ATL1																						PPP2R3B	
	RCOR2	PLN																						ZNF646	
	HID1	EGFL6																						FAM129C	
	GHDC	APCDD1L																						ANKRD11	
	RAB26	ZNF521																						C16orf55	
	ABCA3	ALPK2																						SGK494	
	FAM83B	RUSC2																						PROCA1	
	GLYCTK	SHISA4																						MLL2	
	DEGS2	MAP3K3																						CORO6	
	COG7	MAGEE1																						ZNF528	
	HR	L3MBTL3																						RAB4B	
	CDKN2AIP	AP001007.1																						C19orf55	
	DPCR1	C6orf225																						NFKBID	
	VWA3B	PPAPDC1A																						TTYH1	
	FAM84B	MAFB																						LENG8	
	CNNM3	NHSL2																						TMEM145	
	GSTM4	BMPR2																						ZNF526	
	PPIP5K1	COL5A2																						TRAPPC9	
	BTNL3	COL15A1																						ZNF283	
	PLA2G4F	LAYN																						ATCAY	
	STXBP6	C10orf114																						ZNF444	
	TM4SF20	FAM196B																						KIFC2	
	LGALS9	IGFL2																						TRPV3	
	PARM1	C15orf59																						AC018755.11	
	PCSK9	ITPRIPL2																						ZNF83	
	RAB3B	ATP10A																						E4F1	
	EFNA1	AP000525.8																						SRRM2	
	RASSF6	COL6A6																						NLRC3	
	GJB1	TMEM200C																						VWCE	
	CHRNA5	VGLL3																						BEST1	
	AGPAT2	DIO2																						ATG16L2	
	MUC17	C17orf51																						C2CD3	
	REPS2	FAM127C																						TTC21A	
	MUC3A	MLLT11																						ULK4	
	TM4SF4	SIPA1																						LTBP3	
	ZNF764	LBH																						SF1	
	ZNF768	S1PR3																						CCDC88B	
	MYO7B	ITGA1																						ANKS3	
	SIMC1	TSPAN4																						SETD5	
	CMTM8	AC007347.1																						GNG4	
	LGALS9B	TENM3																						POLR2J3	
	GPRC5C	FAM19A5																						SCN11A	
	KRT8	PPP1R3G																						ING5	
	METTL7B	PLXNA4																						KLHL30	
	ELOVL6	AC112721.2																						ATXN2L	
	ARL6IP1	LINC00152																						NBPF9	
	SMAGP	RP11-417E7.1																						TET2	
	IRF2BP1	C1QTNF5																						C2orf68	
	FOXA3	AC009948.5																						LRRC28	
	SLC26A5	RP11-134G8.8																						MAT2A	
	TTLL6	ZNF469																						ZNF608	
	KIF5B	FAM225B																						SPRY3	
	SDR16C5	ELFN1																						JMJD7-PLA2G4B	
	PAQR8	C14orf132																						COL4A3	
	INSR	LINC00578																						HNRNPH1	
	FUT3	RP11-206L10.11																						MECP2	
	ATP6V0E2	AC020571.3																						61E3.4	
	TMEM37	AC106722.1																						RAB24	
	UGT2B7	AC007879.7																						CA5B	
	CLCN5	AC004538.3																						NPIPL3	
	WIPF2	DNM3OS																						INO80E	
	ANO5	AC093850.2																						DFFB	
	TMEM51	APCDD1L-AS1																						C15orf40	
	LGALS4	RP11-400N13.3																						HEXDC	
	GATM	RP11-344E13.3																						C15orf27	
	PWWP2B	HOXB-AS3																						TRIM56	
	MLLT3	CRYBG3																						OTUD3	
	ORMDL3	TWIST2																						OTUD7A	
	MBOAT1	AC093616.4																						KCNAB3	
	ATOH1	MAGI2-AS3																						FAM153A	
	MACROD2	RP3-439F8.1																						GPR37L1	
	SUCLG2	AL033532.1																						ZNF778	
	PDZD3	RP11-383H13.1																						CCDC144A	
	C2CD2L	B3GNT9																						HOXD4	
	CARNS1	LINC00312																						CHRNB1	
	RND1	RP11-400K9.4																						FAM161A	
	RAB43	RP11-815M8.1																						FAM115C	
	OVOL1	ARHGEF25																						TMEM182	
	CES2	C8orf58																						HSD17B13	
	MYD88	AKAP2																						DPY19L2P2	
	ADH6	AC108488.4																						ATF7	
	C11orf86	STON1																						RASA4B	
	DAG1	PRAF2																						NUDT6	
	AGR3	TICAM2																						TPT1-AS1	
	C2orf70	RPLP0P2																						DNAJC24	
	SULT1B1	CTD-2314B22.3																						ZNF160	
	MUC13	SCARF2																						DCDC5	
	GPR160	AC037459.4																						TSNARE1	
	MARCH3	HHIP-AS1																						MFN1	
	ADCY6	TMEM158																						KCNMB3	
	REP15	IQCJ-SCHIP1																						ZNF692	
	TNK1	PCDHGA12																						NAIF1	
	SLC6A19	RP11-122A3.2																						FAM98B	
	SLC26A9	CCDC71L																						BAHCC1	
	MFSD4	TMEM200B																						ZNF439	
	GOLT1A	AC005895.3																						CHD7	
	UGT8	PABPC4L																						ASXL1	
	KY	MAGEL2																						BPTF	
	SLC29A2	RP11-166D19.1																						LRRC34	
	BTC	AC005013.1																						RASGRP4	
	PDZK1	FNTB																						LRRC48	
	PDE12	RP11-620J15.3																						ZNF554	
	ASPHD1	SPESP1																						HINFP	
	ZG16	ITGB3																						PRSS27	
	MARCKSL1	RP11-426C22.4																						AGXT	
	C1orf126	U82695.10																						RAD9A	
	ABO	GS1-465N13.1																						AGAP5	
	ANKS4B	CTC-205M6.5																						TAF15	
	KCNE3	RP11-274H2.5																						ZNF738	
	LONRF3	RP11-524D16__A.3																						MS4A10	
	C1orf172	RP11-863P13.7																						ZNF596	
	ETV4	RP11-709B3.2																						NAA16	
	ZDHHC21	CTD-2171N6.1																						EFCAB12	
	TPRN	RP11-686D22.7																						CES4A	
	GPX2	CTD-2357A8.3																						PDP2	
	SLC35G1	S1PR2																						ZNF621	
	HSD11B2	AC010441.1																						AP002387.1	
	LPCAT4	AC096677.1																						NBEA	
	PLA2G16																							ANKRD13D	
	PRR15																							PHF8	
	KBTBD11																							ZNF680	
	MYO1D																							HECTD4	
	CCDC121																							ADCK5	
	VSIG10																							CYSLTR1	
	FUT2																							PARP15	
	GCNT4																							AHSA2	
	MUC20																							MAB21L3	
	MTHFR																							KIAA1919	
	FBXO46																							SYT12	
	ACER2																							FAM86B3P	
	RP1-163G9.1																							CCDC36	
	RIMKLA																							ZNF417	
	B3GNT8																							MST1	
	C8orf47																							SNX33	
	SAMD12																							CHD2	
	PNPLA2																							CCDC41	
	EFCAB4A																							NMNAT1	
	NAALADL2																							CXorf23	
	ZNF620																							C11orf80	
	ZNF619																							HAP1	
	GRAMD1C																							TDRD12	
	TSSK6																							ENDOV	
	AQP11																							PHC3	
	DNAJC22																							SWSAP1	
	P4HTM																							CEP19	
	CTXN1																							RP11-1407O15.2	
	SLC25A20																							TLR10	
	CA8																							RP11-23P13.6	
	PSAPL1																							AGAP8	
	GPR35																							SLC16A13	
	NSUN3																							STAG3L3	
	STX19																							RALGAPA1	
	TMEM139																							RP11-313P13.4	
	RNF186																							GTF2IRD2B	
	CEBPA-AS1																							C12orf76	
	FAM101A																							ANKRD36C	
	ZNF852																							ZNF266	
	ZNF552																							C4orf26	
	GAK																							CEP135	
	ZBTB7A																							DNAH12	
	FBXO34																							KCTD13	
	KLHDC7A																							FBXW8	
	TCAIM																							FAM18B2	
	TMEM125																							GOLGA8A	
	ZNF664																							AGXT2L2	
	TMEM151A																							ZNF519	
	GPC5																							CCDC14	
	ZNF238																							PPP2R2D	
	HTR1D																							CABP4	
	ZFPM1																							LINC00476	
	GRM8																							B3GNTL1	
	ZBTB42																							MLXIP	
	ARL14																							SLC35E3	
	PDXDC1																							ZNF169	
	B3GNT3																							AC004840.9	
	ITLN1																							PLEKHD1	
	SEPHS2																							DLEU1	
	FIZ1																							CCDC57	
	ZNF48																							LRRTM4	
	TMEM150B																							RTTN	
	ZNRF2																							ACBD7	
	SLC9A4																							RP11-404O13.5	
	ZNF816																							CLK2	
	CCDC129																							CTD-2368P22.1	
	C10orf108																							LRRC37A	
	CLRN3																							SCAND2	
	SRSF8																							ACSF3	
	ZDHHC20																							NCKAP5	
	ZNF443																							LRRC37A3	
	ZNF792																							NFATC2IP	
	NQO1																							WDR73	
	RPH3AL																							ULK1	
	HIGD1A																							NAP1L4P1	
	FRAT2																							CHD9	
	TMEM102																							PDDC1	
	FAM211A																							C8orf31	
	CCDC108																							DLGAP1-AS1	
	AATK																							RP11-551L14.1	
	ACBD4																							RP1-62O9.3	
	C6orf223																							NR2C2	
	C5orf30																							RBM44	
	AMIGO1																							PIDD	
	RNASE4																							SUMO4	
	SLC35C1																							ANXA2R	
	CLDN7																							KIAA0195	
	TMEM30B																							CTD-2201E18.3	
	UBA7																							AC108142.1	
	BACE2																							ZNF518A	
	CAPN12																							MAMDC4	
	EPHB3																							ZNRF3-AS1	
	ACTL10																							DMAP1	
	TRAK1																							ALS2CL	
	AC073871.2																							GOLGA8Q	
	C1orf116																							ZNF114	
	GLUD2																							ZNF454	
	C11orf54																							SH2B1	
	SPATA13																							VN1R1	
	ARHGEF37																							RNF212	
	CALHM3																							ZNF354B	
	FANCF																							PLEKHM3	
	GDPGP1																							CTD-2373H9.6	
	EPHA10																							ZNF713	
	BCOR																							FAM219B	
	SH2D7																							CPNE7	
	GKN2																							TRIM73	
	KLHL25																							EFCAB13	
	MACC1																							CTC1	
	B3GALT5																							EXD1	
	BTBD9																							ZFP42	
	FAM3B																							C9orf106	
	IQGAP3																							SAMD4B	
	TOB2																							LINC00670	
	DNAH2																							EDC3	
	KCNH8																							RP11-111M22.2	
	TMPRSS2																							DAND5	
	FAM190A																							FAM156B	
	ZDHHC23																							CLK3	
	LRRC19																							ARID3B	
	AP001062.7																							HMGN2P46	
	NCMAP																							PACS2	
	FOXO4																							C1orf101	
	DUSP8																							LINC00174	
	OR7E14P																							MKRN3	
	LRRC26																							RP11-151N17.2	
	FAM110C																							LBX2	
	ZBTB7C																							DNHD1	
	BRI3BP																							KIAA1875	
	DGAT1																							PCED1B	
	CA13																							RP11-169K16.9	
	FAM169B																							PIPOX	
	MANEAL																							PCBP1-AS1	
	INPP5J																							HEATR7A	
	MFSD6L																							AC025335.1	
	SIGIRR																							PHC1P1	
	PGBD2																							ZNF154	
	CD24P4																							R3HDM2	
	SFTPA2																							LINC00652	
	METTL7A																							RP11-1319K7.1	
	FAM174B																							CRIPAK	
	KPNA7																							PSTK	
	MUC1																							ANKRD18A	
	TLCD2																							TMEM86B	
	SP1																							AC018865.8	
	PBX1																							HERC2P3	
	PMEL																							OAZ2	
	NRG3																							ZNF609	
	PCYT2																							CCDC66	
	CYP4F2																							AC034193.5	
	O3FAR1																							GLIPR1L2	
	CYP4F12																							KCNE1	
	SOWAHB																							SKIDA1	
	KLHL32																							ZNF594	
	PRELID2																							CTD-2547E10.2	
	INSIG1																							HOXC9	
	CYP4F3																							PSMG4	
	FOXD2																							PDIA3P	
	HPDL																							CAPS2	
	LRRC16B																							D2HGDH	
	PPARA																							ZFP82	
	ENTPD5																							C7orf53	
	LYPD6																							SLC25A42	
	NPSR1																							SLC26A11	
	CIDEC																							MAPK15	
	CHP1																							ADIPOQ	
	KCNJ11																							ZNF707	
	USP7																							TMEM136	
	C2orf88																							TMEM45A	
	KBTBD12																							GPR135	
	DMBT1																							ANKRD62	
	RINL																							ZFP41	
	CLCN1																							HKR1	
	C6orf132																							PLAG1	
	TMPPE																							BAI1	
	HEPACAM2																							IBA57	
	NCR3LG1																							AC092535.1	
	CTD-2228K2.5																							ZNF101	
	IL17REL																							RP11-381O7.3	
	AGPHD1																							TNRC18	
	FAM83G																							RP11-69E11.4	
	NBR1																							ZNF716	
	RALGAPA2																							ZNF708	
	NDOR1																							CREB3L2	
	NOXA1																							ASB18	
	TMEM198																							FAM159A	
	BCL2L15																							RAD51B	
	ENTPD8																							FAM153B	
	C9orf152																							LINC00085	
	LRRC66																							ZSCAN22	
	ANKDD1B																							SGK223	
	TMEM120A																							KCNJ14	
	FAM47E																							FLJ39061	
	ZNF33A																							CLN8	
	ZNF600																							PLCXD1	
	FHIT																							CACNB4	
	C6orf222																							RP1-86D1.3	
	AKR1C3																							PGBD4	
	C11orf92																							WASH6P	
	ACADSB																							RNASE10	
	TMEM63A																							SATB1	
	CTSE																							TSPAN10	
	LCOR																							FAM156A	
	SFTA2																							BRICD5	
	CD55																							RGS6	
	FUT4																							HOXB4	
	ZNF774																							TMEM198B	
	EPHB4																							RRP7B	
	PPP1R26																							ZNF721	
	ZNF799																							C21orf90	
	SPTSSB																							CEP63	
	MAN2A2																							MTA1	
	MYO6																							ZNF662	
	UGT2B15																							ZNF320	
	SLC30A10																							C12orf60	
	HSH2D																							SLC25A21	
	DAPK1																							CAMK1D	
	ZSCAN16																							FAM133CP	
	ARHGEF12																							WBP2NL	
	ANXA4																							BEGAIN	
	ZNF398																							DSCR6	
	SRC																							FLJ22184	
	ACSL5																							PLGLB1	
	LRRC8B																							AC005037.3	
	PIWIL2																							ZNF623	
	LRP10																							CCDC125	
	ZNF786																							CCDC159	
	ZNF860																							NPIP	
	GSTK1																							RP11-958N24.1	
	SLC2A10																							EP400	
	SLC28A3																							PI4KAP2	
	FAM177B																							RP11-347C12.2	
	RAB40C																							RP1L1	
	ENTPD6																							PP13439	
	FAM118B																							GUSBP1	
	OCLN																							TRIM52	
	UGT2B17																							PAPL	
	KIF13B																							AIFM3	
	ZNF823																							ZNF703	
	S100A6																							RBM12B	
	VPS13A																							MAATS1	
	PCDH20																							PKD1P1	
	AKR1B10																							TTC32	
	CD2AP																							TMEM236	
	TOR4A																							LRTOMT	
	HIBCH																							KCNQ3	
	TMEM229B																							GPR173	
	SVIP																							TSPYL2	
	HSD17B11																							RP11-671M22.1	
	SULT1C2																							SNRNP35	
	ZXDA																							C11orf72	
	RPS6KL1																							HEATR8	
	SLC29A3																							PLA2G6	
	CARD11																							SS18L1	
	FAM109A																							RP11-44M6.3	
	SPRED2																							WDR27	
	WWP2																							KRBA2	
	GFPT1																							ZBTB40	
	ZXDB																							RBM33	
	SH3BGRL2																							FAM227A	
	B3GNT6																							TMEM106A	
	C2CD4A																							BRF1	
	NUDT16																							RP11-182I10.4	
	LRBA																							BX004987.4	
	AKR1C4																							ADSSL1	
	FAM3D																							ANO9	
	STK39																							TBC1D3F	
	UNC13B																							LRRC37B	
	F5																							DDX51	
	ZNF652																							LINC00482	
	GLT25D2																							NRBP2	
	EPS8L3																							ZNF445	
	RUNDC1																							RAB11B	
	GRK5																							PRPF39	
	SREBF2																							PPIL6	
	DCLRE1A																							ZBTB37	
	NOS1AP																							CDK10	
	SOWAHA																							TMEM105	
	CAPN8																							PARK2	
	SAMD5																							SP140L	
	LIME1																							IL28RA	
	SAMD13																							SDHAP1	
	C2orf72																							RP11-504P24.4	
	PPYR1																							L3MBTL1	
	GPRIN2																							C11orf35	
	TCEA3																							WASH3P	
	SP5																							EP400NL	
	SLC44A4																							RP11-645C24.2	
	VWA7																							ZNF696	
	C6orf136																							DMWD	
	AC013268.5																							NPAP1	
	ZNF468																							ARL17A	
	TRIM15																							61E3.4	
	TRIM10																							ZNF829	
	TRIM40																							RP11-178A10.1	
	TRIM31																							SETD4	
	RNF39																							RNPC3	
	FAM201A																							SDHAP3	
	AC021218.2																							LRCH3	
	SPIRE2																							MATN1-AS1	
	CCNI2																							PION	
	LGR4																							AGBL4	
	PRR13																							CYP2R1	
	TECPR1																							CCDC84	
	EXOC3L4																							MKL2	
	C2CD4B																							NBPF12	
	ONECUT3																							ZNF555	
	NYNRIN																							MST1P2	
	AKR7L																							TMEM212	
	SLC48A1																							C9orf47	
	RNF208																							GOLGA8R	
	KLHL23																							CCDC30	
	ADAT3																							FCAR	
	NCKIPSD																							PCLO	
	PSMC1P2																							ANKRD20A5P	
	CTD-2331H12.6																							MYT1L	
	CEACAM18																							ZNF396	
	PPM1N																							FAM86B1	
	AP1G2																							CYP4F8	
	REPIN1																							SMYD4	
	ANG																							GPATCH8	
	C11orf93																							CEACAM19	
	RSBN1L-AS1																							KTN1-AS1	
	VSTM5																							FSD2	
	STARD10																							LYRM7	
	RP11-480I12.5																							DTX2P1	
	FER1L6																							FSCN2	
	GRID2IP																							ZNF397	
	MUC5AC																							ZSCAN30	
	DHRS4-AS1																							TPCN1	
	AC106876.2																							PDZD7	
	AC007405.2																							TMEM232	
	CKMT1A																							EFCAB6	
	AC007255.8																							CDHR4	
	RP11-383C5.4																							PLEKHG7	
	RP5-1033H22.2																							IFT140	
	RP11-48O20.4																							ZNF385C	
	LINC00365																							TET3	
	RP11-325F22.5																							EXD3	
	RP11-63P12.6																							TCL6	
	MKRN2-AS1																							WHAMMP3	
	CCT8P1																							SECISBP2	
	RP11-90D4.2																							ZNF70	
	PSMD10P2																							PEAR1	
	RP11-336K24.6																							CCDC157	
	EPPK1																							PALM3	
	RP11-265B8.4																							AC002472.13	
	RP3-395M20.9																							ARHGAP11B	
	RASA4CP																							PMS2CL	
	RP11-528A4.2																							CYHR1	
	RP11-73M7.1																							KLHL17	
	RP11-44D15.3																							ZSCAN23	
	AP001187.9																							OR7D2	
	CISD3																							ZNF490	
	AC008738.1																							NWD1	
	FEZF1-AS1																							PRSS45	
	RP11-175O19.4																							EYS	
	RP11-342C23.4																							MYO15B	
	LEF1-AS1																							MAPK12	
	TMEM253																							ZC3H6	
	RAD17P1																							LINC00265	
	RP11-93B14.5																							HNRNPU-AS1	
	CTAGE3P																							ZNF793	
	PHGR1																							AGAP4	
	TMEM238																							C15orf62	
	RP11-326F20.5																							C19orf35	
	AC005083.1																							C3orf62	
	RP13-25N22.1																							ZNF559	
	RP11-528G1.2																							SBK1	
	RP11-465N4.4																							PRR19	
	RP11-395P17.3																							RP11-152F13.2	
	RP1-60O19.1																							JAKMIP3	
	C12orf75																							C19orf54	
	RP11-59D5__B.2																							C22orf34	
	ARHGEF38																							DUSP28	
	AC018642.1																							C15orf52	
	AC005550.3																							C12orf55	
	SULT1C2P1																							NPIPP1	
	CKMT1B																							NANOS1	
	XXbac-B135H6.15																							HMX3	
	RP11-40F6.2																							GOLGA8M	
	MLK7-AS1																							ZNF177	
	RP3-395M20.8																							LINC00319	
	RNF103																							SLC4A5	
	C1orf226																							FAM221A	
	CPHL1P																							TMEM120B	
	AC093627.10																							FSIP2	
	TDGF1																							ZDHHC11	
	HNF1A-AS1																							CNR2	
	UGT1A1																							CTD-3014M21.4	
	RP11-568K15.1																							SLX4	
	UGT1A8																							CTD-3088G3.8	
	DECR2																							USP32P1	
	RP11-285F7.2																							UTS2D	
	EFNA4																							ADAT2	
	RP5-1121A15.1																							AC138783.12	
	GSTA1																							ARID2	
	ACY1																							IL1RAPL2	
	RP11-1396O13.2																							UBE2Q2P1	
	TMEM141																							CRYM-AS1	
	DBNDD2																							GRAPL	
	RP11-278L15.6																							ZNF527	
	CEBPA																							DPY19L2P1	
	RP11-700H6.1																							NUGGC	
	ADH1C																							SLC35E2B	
	ABHD14A																							FAM179A	
	RP11-844P9.2																							ZNF724P	
	CTC-504A5.1																							AC079610.2	
	RP11-294O2.2																							KIAA0895L	
	CTD-2015H6.3																							AC005831.1	
	HS3ST5																							ZNF250	
	GBA3																							ZNF681	
	RP11-834C11.4																							RNF216P1	
	AC005355.2																							XPNPEP3	
	C1orf210																							ZNF107	
	TRNP1																							ZNF471	
	SLC10A5																							ZNF493	
	ALG11																							GTF2IRD2	
	ATXN7L3B																							AC005154.6	
	UTP14C																							HIATL2	
	CLDN23																							POM121	
	CTD-2284J15.1																							AC021860.1	
	RP11-150O12.3																							TRRAP	
	RP11-760H22.2																							SLC35F1	
	SLC22A18AS																							ZNF34	
	AP001372.2																							THEM5	
	RP11-259P6.1																							LINC00176	
	RP11-626H12.1																							ARMCX4	
	RP13-726E6.2																							C20orf96	
	RP11-867G23.8																							NCOR2	
	RP11-627G23.1																							MYO18A	
	AP000439.3																							RP3-499B10.3	
	ABCC6P1																							RP11-57C13.3	
	CYP2B7P1																							XRCC2	
	KIAA1147																							ZNF782	
	RP11-469H8.6																							POTEF	
	GALNT4																							ZNF846	
	LBX2-AS1																							GPR89C	
	RP11-1220K2.2																							GOLGA6L9	
	RP11-1143G9.4																							TRPV1	
	RNASE4																							PDXDC2P	
	CTD-2566J3.1																							ZNF431	
	MIA2																							ZNF418	
	POC1B-GALNT4																							COL27A1	
	SMIM6																							RP4-564F22.2	
	CTD-2240H23.2																							ZNF700	
	AL163636.6																							MAML3	
	RP11-244F12.3																							CTBP1-AS1	
	IQCH-AS1																							POTEI	
	RP11-356M20.1																							CBWD3	
	RP11-16E12.2																							SCN8A	
	CTA-363E6.2																							ANKRD36B	
	RP11-304L19.1																							AC009093.1	
	RP11-4O1.2																							SRGAP1	
	LINC00261																							A-575C2.4	
	RP11-77K12.7																							ZNF138	
	RP1-239B22.5																							ZNF100	
	RP11-386M24.6																							ZNF498	
	RP11-4F5.2																							ZNF300P1	
	RP11-420N3.2																							SLC25A29	
	RP1-140K8.5																							ZNF682	
	LINC00543																							ADAM32	
	RP11-747H7.3																							AL133458.1	
	RP11-226L15.5																							ZNF785	
	RP11-363E7.4																							SULT1A2	
	RP3-523K23.2																							NEK5	
	RP11-96H17.2																							FLJ27365	
	RP11-384L8.1																							C6orf141	
	RP11-96D1.11																							SYNGAP1	
	RP11-353N14.4																							RAMP2-AS1	
	LINC00675																							FITM2	
	RP11-160O5.1																							ZNF720	
	LINC00526																							ZNF655	
	RP11-627G18.3																							ZNF98	
	RP11-400F19.6																							ZNF517	
	RP1-193H18.2																							SLC22A5	
	CTD-2008P7.9																							CYP2B6	
	CCL15																							ZNF665	
	RP11-127I20.4																							C5orf56	
	AC008040.1																							RP11-460N11.2	
	CTD-2331H12.5																							SSPO	
	CTD-2626G11.2																							BCO2	
	SPIB																							ZNF841	
																								WDR96	
																								HOXC6	
																								MAP1LC3C	
																								EME2	
																								AC011450.1	
																								C9orf174	
																								SLC22A20	
																								ZNF44	
																								SPG7	
																								ZNF677	
																								ZNF347	
																								FCHSD1	
																								AKAP17A	
																								SNHG12	
																								ZNF335	
																								AGAP9	
																								ZNF273	
																								ZNF84	
																								61E3.4	
																								SFI1	
																								ADH4	
																								ZNF248	
																								SNX29P2	
																								MB	
																								AC135178.1	
																								ZNF876P	
																								A-575C2.4	
																								ZNF251	
																								SZT2	
																								RP11-98J23.2	
																								TMEM116	
																								HOXC4	
																								RP11-544M22.1	
																								ZNF26	
																								MGEA5	
																								ZNF69	
																								ZNF587	
																								ZNF808	
																								NBR2	
																								ZNF43	
																								ZNF789	
																								DDX39B	
																								C3orf35	
																								MDM4	
																								MT-ND6	
																								CEP290	
																								MT-CYB	
																								OXCT2	
																								MT-ND2	
																								MT-ND5	
																								MT-CO1	
																								DENND4B	
																								MT-ND4	
																								MT-ND1	
																								MT-ATP6	
																								KIAA0753	
																								ZFP2	
																								SNORA73B	
																								SNORA63	
																								RNU4-1	
																								SNORA38	
																								SNORA63	
																								7SK	
																								RNU4-2	
																								AL353898.2	
																								RP11-98D18.9	
																								AL590822.1	
																								RP11-277A4.4	
																								AC105020.1	
																								RP11-571E6.3	
																								RP11-730A19.6	
																								AC104600.1	
																								AC131571.2	
																								RP11-176H8.1	
																								RP11-542B15.1	
																								RP5-886K2.1	
																								RP11-375F2.2	
																								AC007690.1	
																								AC144450.2	
																								LINC00501	
																								RP4-562J12.2	
																								EFCAB2	
																								C1orf132	
																								GPR52	
																								RP11-296O14.3	
																								RP11-243J18.3	
																								FANK1	
																								AL358813.2	
																								NBPF16	
																								NBPF20	
																								NBPF24	
																								AL583842.6	
																								RBM20	
																								C9orf37	
																								ZYG11A	
																								TRABD2B	
																								FOXO6	
																								INPP5B	
																								PHACTR4	
																								AGAP6	
																								TIMM23B	
																								RP11-508M1.3	
																								AGAP10	
																								SYT15	
																								BMS1P1	
																								RP11-713P17.3	
																								SPIN3	
																								RP11-219G17.4	
																								RP11-153A23.6	
																								NOTCH4	
																								AGER	
																								DFNB59	
																								MBD5	
																								MSH5	
																								ZNF814	
																								PSORS1C3	
																								POU5F1	
																								PSORS1C1	
																								PRR3	
																								ZNRD1-AS1	
																								CRHR1-IT1	
																								FAM153C	
																								GABBR1	
																								AC012307.3	
																								RP11-195E11.2	
																								CTC-308K20.1	
																								CBWD6	
																								PGM5P1	
																								RP11-111F5.4	
																								AC008676.1	
																								ATXN2	
																								TCTN1	
																								ZBTB48	
																								IGFL4	
																								SPINK9	
																								FBXO48	
																								ATP6V0E2-AS1	
																								ZNF783	
																								PCDHA9	
																								AC073082.1	
																								AC009113.1	
																								C16orf85	
																								SLFN12L	
																								FLJ00104	
																								RP11-693J15.5	
																								FAM71F2	
																								C2orf91	
																								AC016586.1	
																								REXO1L1	
																								RP11-152F13.4	
																								MUC12	
																								ATP6AP1L	
																								AC004980.7	
																								AC013472.3	
																								RGL3	
																								RP11-345J4.8	
																								CPT1B	
																								STAG3L1	
																								DENND6B	
																								RP4-610C12.4	
																								RP11-798L4.1	
																								CYP2D7P1	
																								RP11-1212A22.1	
																								CRYZL1	
																								RP9P	
																								CATSPER2P1	
																								AC091435.1	
																								LOH12CR2	
																								RP1-59D14.3	
																								AC130352.1	
																								C1RL-AS1	
																								ZNF316	
																								SRRM2-AS1	
																								PDPK2	
																								C21orf62	
																								RP11-689P11.2	
																								AC010507.5	
																								EGFEM1P	
																								TMEM191C	
																								HERC2P9	
																								HCG27	
																								H1FX-AS1	
																								WDR52	
																								COLQ	
																								SETD5-AS1	
																								RNU1-6	
																								RNU1-8	
																								RNU1-7	
																								RNU1-1	
																								RNU1-5	
																								SNORA10	
																								RNU1-2	
																								SNORA54	
																								SNORA72	
																								SNORA7B	
																								SNORA37	
																								RNU1-4	
																								SNORA20	
																								RNU1-9	
																								U1	
																								RNU1-3	
																								SNORD94	
																								SNORA49	
																								GNRHR2	
																								TAS2R19	
																								TAS2R15	
																								TAS2R14	
																								TAS2R13	
																								SNORD17	
																								SNORA74B	
																								RP1-122K4.3	
																								AL161915.1	
																								AC084018.1	
																								DKFZP667F0711	
																								MT-ND4L	
																								RP11-211N8.3	
																								POU5F1B	
																								ZNF580	
																								ZNF611	
																								AURKAPS1	
																								C1orf220	
																								AL021068.1	
																								RP11-288H12.3	
																								FAM106A	
																								AC007256.5	
																								ZNF254	
																								AL590867.1	
																								AC022498.1	
																								CRYGS	
																								AC090425.1	
																								RP11-641D5.1	
																								AC012066.1	
																								KIAA1984	
																								NOTCH2NL	
																								TSGA13	
																								ANKRD39	
																								QTRT1	
																								MXD3	
																								GSTM2	
																								LCAT	
																								RBM22P2	
																								NPM1P5	
																								RP13-39P12.2	
																								SLX1A-SULT1A3	
																								RP11-380G5.3	
																								AL163952.1	
																								SEC14L1P1	
																								RP4-694B14.5	
																								C8orf44	
																								AC005003.1	
																								SLC23A3	
																								LTB4R	
																								LTB4R2	
																								DNASE1	
																								CLDN9	
																								AC074286.1	
																								ZNF726	
																								RP11-15H20.6	
																								ZNF90	
																								AC092067.1	
																								GANC	
																								TTLL3	
																								ZNF891	
																								CTD-2116F7.1	
																								PP12708	
																								TMEM213	
																								AC024560.3	
																								RP11-513G11.1	
																								PLEKHM1P	
																								ST7-OT4	
																								ZNF788	
																								SH3D21	
																								C12orf74	
																								AGGF1P1	
																								RP11-108K14.4	
																								RP11-252A24.2	
																								RPS3AP26	
																								DKFZP779J2370	
																								LRRC37A4P	
																								AS3MT	
																								PLIN5	
																								SEC14L6	
																								MEG3	
																								EML6	
																								SLC6A10P	
																								AL162389.1	
																								SEPT7P2	
																								RP11-544I20.2	
																								RP11-726G1.1	
																								AP002380.1	
																								POLR2J4	
																								MS4A4E	
																								DDX12P	
																								MTCP1	
																								RP11-261C10.3	
																								AC004540.5	
																								C14orf182	
																								AC104472.1	
																								HLA-F-AS1	
																								LRRC69	
																								RP11-467M13.1	
																								AL645728.1	
																								COL28A1	
																								ATXN1	
																								GNL3LP1	
																								CD27-AS1	
																								C9orf38	
																								MIR497HG	
																								AC025171.1	
																								AC004148.1	
																								CBWD7	
																								AC141586.5	
																								RP11-1023L17.1	
																								LINC00680	
																								AC091878.1	
																								RP11-266K4.9	
